"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P202507041AFF,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 1회차",P202507041AFF-M1000000120253017C9D,"20250703","20250711",,Y,Y,,0,,,M10000001,"2025-07-04 01:48:11",,
P202507046A44,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 2회차_연구개발검수",P202507046A44-M1000000120253017C9D,"20250704","20250731",,Y,Y,,0,,,M10000001,"2025-07-04 04:35:13",,
P202507075FAD,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 3회차_연구개발검수",P202507075FAD-M1000000120253017C9D,"20250707","20250731",,Y,Y,,0,,,M10000001,"2025-07-07 02:11:13",,
P20250707DE85,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 2회차",P20250707DE85-AC0001202530101AF,"20250707","20250730",,Y,Y,,0,,,M10000001,"2025-07-07 02:23:39",,
P20250708097C,AC00332025402E7A5,,P25070801344605f162e,"25년 7월 1회차",P20250708097C-AC00332025402E7A5,"20250701","20250703",,Y,Y,,0,,,M10000019,"2025-07-08 04:40:33",,
P202507084DED,AC00332025301B2C8,,P25070801344605f162e,"25년 7월 1회차",P202507084DED-AC00332025301B2C8,"20250706","20250718",,Y,N,,0,,,M10000016,"2025-07-08 04:53:20",,
P202507086502,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 4회차_연구개발",P202507086502-M1000000120253017C9D,"20250708","20250731",,Y,Y,,0,,,M10000001,"2025-07-08 04:20:58",,
P20250708740B,AC000120256016589,,P250708043436e55f5e5,"25년 7월 1회차(1회차)",P20250708740B-AC000120256016589,"20250707","20250724",,Y,Y,,0,,,M10000001,"2025-07-08 06:27:03",,
P202507087A39,AC00332025402E7A5,,P25070801344605f162e,"25년 7월 2회차",P202507087A39-AC00332025402E7A5,"20250707","20250718",,Y,N,,0,,,M10000019,"2025-07-08 04:47:18",,
P20250708FDAE,AC0033202550318CD,,P25070801344605f162e,"25년 7월 1회차",P20250708FDAE-AC0033202550318CD,"20250708","20250715",,Y,N,,0,,,M10000018,"2025-07-08 03:58:57",,
P2025070965A7,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 5회차",P2025070965A7-AC0001202530101AF,"20250708","20250725","20250718",Y,Y,,0,,,M10000001,"2025-07-09 02:02:45",,
P202507098064,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 4회차",P202507098064-AC0001202530101AF,"20250708","20250718","20250711",Y,Y,,0,,,M10000001,"2025-07-09 01:48:15",,
P202507118C5B,M1000005520256019C95,,P250711013151b0446cd,"25년 7월 2회차",P202507118C5B-M1000005520256019C95,"20250711","20250713",,Y,Y,,0,,,M10000055,"2025-07-11 14:33:30",,
P20250711FD39,M1000005520256019C95,,P250711013151b0446cd,"25년 7월 1회차",P20250711FD39-M1000005520256019C95,"20250711","20250719",,Y,Y,,0,,,M10000055,"2025-07-11 01:40:00",,
P2025071435F0,M100000642025301E27F,,P25071401593573be29c,"25년 7월 1회차",P2025071435F0-M100000642025301E27F,"20250715","20250718",,Y,Y,,0,,,M10000064,"2025-07-14 11:09:34",,
P202507154E91,M1000006320255020B29,,P250713225725e522cbf,"25년 7월 2회차",P202507154E91-M1000006320255020B29,"20250715","20250716",,Y,Y,,0,,,M10000063,"2025-07-15 13:03:07",,
P20250716280A,M1000000120253017C9D,,P2507041029560e3a263,"25년 7월 5회차",P20250716280A-M1000000120253017C9D,"20250715","20250718",,Y,Y,,0,,,M10000001,"2025-07-16 10:31:43",,
P20250716423A,M1000007220254035C68,,P2507160019222eeb94f,"25년 7월 1회차",P20250716423A-M1000007220254035C68,"20250716","20250815",,Y,Y,,0,,,M10000072,"2025-07-16 09:26:44",,
P202507166826,M1000007020254026414,,P250716001506d9151c6,"25년 7월 1회차",P202507166826-M1000007020254026414,"20250601","20250701",,Y,N,,0,,,M10000070,"2025-07-16 09:27:40",,
P202507166DAA,M100000692025301F737,,P250716000639e95782b,"25년 7월 1회차",P202507166DAA-M100000692025301F737,"20250716","20250718",,Y,N,,0,,,M10000069,"2025-07-16 09:15:07",,
P202507169BCD,M100000732025501D3CA,,P250716004407ca94033,"25년 7월 1회차",P202507169BCD-M100000732025501D3CA,"20250716","20250718",,Y,Y,,0,,,M10000073,"2025-07-16 11:42:31",,
P20250716BB5E,M100000682025602CF1C,,P250716000635f1221b6,"25년 7월 1회차",P20250716BB5E-M100000682025602CF1C,"20250716","20250718",,Y,Y,,0,,,M10000068,"2025-07-16 09:18:26",,
P20250716BE86,AC000120256042D2E,,P2507160157311002cef,"25년 7월 1회차",P20250716BE86-AC000120256042D2E,"20250716","20250731",,Y,Y,,0,,,M10000001,"2025-07-16 11:00:35",,
P20250716CD70,AC000120256016589,,P250708043436e55f5e5,"25년 7월 5회차",P20250716CD70-AC000120256016589,"20250716","20250730",,Y,Y,,0,,,M10000001,"2025-07-16 15:46:29",,
