"PSY_ORD_NO","PSY_ORD_TARGET","PSY_ORD_TYPE_CD","PSY_ITEM_ID","ORD_DATE","START_DATE","END_DATE","ORD_CNT","REMAIN_CNT","USE_CNT","GRADE1_ORD_CNT","GRADE2_ORD_CNT","GRADE3_ORD_CNT","GRADE4_ORD_CNT","GRADE5_ORD_CNT","GRADE6_ORD_CNT","PRICE","PAYMENT_AMT","ORD_STATUS_CD","MAIN_PAYMENT_METHOD_CD","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE","CANCEL_MEMBER_NO","CANCEL_DATE"
P2507041007510da4ac5,AC0001,"1001",PEER_RELATIONSHIP,"20250704","20250801","20260228",10,0,,0,0,10,0,0,0,45000,450000,"3000",CARD,M10000001,"2025-07-04 01:07:52",,,,
P2507041029560e3a263,M10000001,"2003",PEER_RELATIONSHIP,"20250704","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",CARD,M10000001,"2025-07-04 01:29:56",,,,
P2507070119218b1e731,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",25,0,,0,0,25,0,0,0,43000,1075000,"3000",CARD,M10000001,"2025-07-07 01:19:21",,,,
P2507070120459b2ad23,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",10,0,,0,0,0,10,0,0,45000,450000,"3000",CARD,M10000001,"2025-07-07 01:20:45",,,,
P250707101959b0bee23,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",10,0,,0,0,10,0,0,0,45000,450000,"3000",CARD,M10000001,"2025-07-07 01:20:04",,,,
P250707104904f278c55,AC0001,"1001",PEER_RELATIONSHIP,"20250707","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",CARD,M10000001,"2025-07-07 01:49:04",,,,
P250708043436e55f5e5,AC0001,"1001",PEER_RELATIONSHIP,"20250708","20250801","20260228",1,0,,0,0,0,0,0,1,45000,45000,"3000",CARD,M10000001,"2025-07-08 04:34:36",,,,
P250711013151b0446cd,M10000055,"2003",PEER_RELATIONSHIP,"20250711","20250801","20260228",1,0,,0,0,0,0,0,1,45000,45000,"3000",CARD,M10000055,"2025-07-11 01:31:51",,,,
P250712110421adf8570,DC0148,"1002",PEER_RELATIONSHIP,"20250712","20250301","20260228",5,0,,0,0,0,0,5,0,43000,215000,"3000",CARD,M10000061,"2025-07-12 20:04:21",,,,
P250713225725e522cbf,M10000063,"2003",PEER_RELATIONSHIP,"20250713","20250801","20260228",1,0,,0,0,0,0,1,0,45000,45000,"3000",CARD,M10000063,"2025-07-14 07:57:25",,,,
P25071401593573be29c,M10000064,"2003",PEER_RELATIONSHIP,"20250714","20250801","20260228",1,0,,0,0,1,0,0,0,45000,45000,"3000",CARD,M10000064,"2025-07-14 10:59:35",,,,
P2507141121041c57213,AC0001,"1001",PEER_RELATIONSHIP,"20250714","20250801","20260228",2,0,,0,0,2,0,0,0,45000,90000,"3000",CARD,M10000001,"2025-07-14 11:21:04",,,,
P25071411225736bda1d,AC0001,"1001",PEER_RELATIONSHIP,"20250714","20250801","20260228",1,0,,0,0,1,0,0,0,1,1,"3000",CARD,M10000001,"2025-07-14 11:22:57",,,,
P2507141123420588978,AC0001,"1002",PEER_RELATIONSHIP,"20250714","20250301","20260228",5,0,,0,0,5,0,0,0,1,5,"3000",CARD,M10000001,"2025-07-14 11:23:42",,,,
P2507150043264c9256b,AC0001,"1001",PEER_RELATIONSHIP,"20250715","20250801","20260228",30,0,,0,0,10,10,10,0,1,30,"3000",CARD,M10000001,"2025-07-15 09:43:26",,,,
P2507150845369e69af3,AC0001,"1001",PEER_RELATIONSHIP,"20250715","20250801","20260228",11,0,,0,0,11,0,0,0,1,11,"3000",CARD,M10000001,"2025-07-15 17:45:36",,,,
P250716000635f1221b6,M10000068,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000068,"2025-07-16 09:06:35",,,,
P250716000639e95782b,M10000069,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,1,0,0,0,1,1,"3000",CARD,M10000069,"2025-07-16 09:06:39",,,,
P250716001506d9151c6,M10000070,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,1,0,0,1,1,"3000",CARD,M10000070,"2025-07-16 09:15:06",,,,
P25071600161434e2753,M10000071,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,0,1,0,1,1,"3000",CARD,M10000071,"2025-07-16 09:16:14",,,,
P2507160019222eeb94f,M10000072,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,1,0,0,1,1,"3000",CARD,M10000072,"2025-07-16 09:19:22",,,,
P250716004407ca94033,M10000073,"2003",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,0,1,0,1,1,"3000",CARD,M10000073,"2025-07-16 09:44:07",,,,
P2507160157311002cef,AC0001,"1001",PEER_RELATIONSHIP,"20250716","20250801","20260228",1,0,,0,0,0,0,0,1,1,1,"3000",CARD,M10000001,"2025-07-16 10:57:31",,,,
P250716113953a2ea42b,AC0001,"1001",PEER_RELATIONSHIP,"20250716","20250801","20260228",10,0,,0,0,10,0,0,0,1,10,"3000",CARD,M10000001,"2025-07-16 11:39:53",,,,
P2507161155047202433,AC0001,"1001",PEER_RELATIONSHIP,"20250716","20250301","20250731",10,0,,0,0,10,0,0,0,1,10,"3000",CARD,M10000001,"2025-07-16 11:55:04",,,,
